case_id	profile	d_bin_index	epoch_index	target	warm_nodes	warm_panels	warm_splits	other_ms
2	linear	1	7	0.0001	121	7	0	0.03609799999999996
2	linear	1	15	0.0001	113	7	0	0.03478200000000009
2	linear	1	23	0.0001	113	7	0	0.03573699999999991
2	linear	2	0	0.001	61	3	0	0.02480500000000002
2	linear	2	7	0.001	61	3	0	0.023270000000000013
2	linear	2	15	0.001	61	3	0	0.023156999999999955
2	linear	2	23	0.001	61	3	0	0.02312700000000001
2	linear	2	0	0.0001	77	3	0	0.02951800000000003
2	linear	2	7	0.0001	77	3	0	0.02713999999999997
2	linear	2	15	0.0001	77	3	0	0.026970999999999967
2	linear	2	23	0.0001	77	3	0	0.02693200000000001
2	linear	3	0	0.001	59	5	0	0.022281000000000037
2	linear	3	7	0.001	52	4	0	0.019000000000000003
2	linear	3	15	0.001	52	4	0	0.01882599999999994
2	linear	3	23	0.001	52	4	0	0.018199999999999966
2	linear	3	0	0.0001	83	5	0	0.029321000000000014
2	linear	3	7	0.0001	68	4	0	0.02330500000000002
2	linear	3	15	0.0001	68	4	0	0.022512999999999922
2	linear	3	23	0.0001	68	4	0	0.02219500000000002
2	linear	4	0	0.001	61	3	0	0.024935999999999993
2	linear	4	7	0.001	61	3	0	0.022885000000000016
2	linear	4	15	0.001	61	3	0	0.022907999999999984
2	linear	4	23	0.001	61	3	0	0.023068000000000005
2	linear	4	0	0.0001	77	3	0	0.029721999999999985
2	linear	4	7	0.0001	77	3	0	0.027013999999999982
2	linear	4	15	0.0001	77	3	0	0.026772000000000018
2	linear	4	23	0.0001	77	3	0	0.02676100000000002
2	uniform	0	0	0.001	73	7	0	0.026738999999999957
2	uniform	0	7	0.001	73	7	0	0.024997000000000033
2	uniform	0	15	0.001	73	7	0	0.024828000000000003
2	uniform	0	23	0.001	81	7	0	0.02852099999999999
2	uniform	0	0	0.0001	129	7	0	0.04363300000000005
2	uniform	0	7	0.0001	121	7	0	0.03579700000000005
2	uniform	0	15	0.0001	129	7	0	0.037947999999999926
2	uniform	0	23	0.0001	129	7	0	0.03775299999999998
2	uniform	1	0	0.001	73	7	0	0.026425000000000032
2	uniform	1	7	0.001	81	7	0	0.02826600000000004
2	uniform	1	15	0.001	73	7	0	0.025548000000000015
2	uniform	1	23	0.001	73	7	0	0.025573999999999986
2	uniform	1	0	0.0001	121	7	0	0.03986899999999996
2	uniform	1	7	0.0001	121	7	0	0.03657799999999997
2	uniform	1	15	0.0001	113	7	0	0.03568599999999997
