case_id	profile	d_bin_index	epoch_index	target	vbm_ms	cold_ms	warm_ms	radial_ms	warm_topology_ms	warm_without_topology_ms	warm_physical_ms
0	uniform	0	23	0.0001	0.1539550139568746	49.827007	49.687898	0.307428	49.318034	0.36986399999999975	0.33013800000000015
0	uniform	1	0	0.001	0.27150101959705353	0.850155	0.850957	0.260699	0.591218	0.25973899999999994	0.22766299999999992
0	uniform	1	7	0.001	0.28171896701678634	0.717109	0.565742	0.248292	0.299303	0.266439	0.2361770000000001
0	uniform	1	15	0.001	0.28249103343114257	0.914349	0.747077	0.332167	0.392207	0.35487	0.319654
0	uniform	1	23	0.001	0.2793559688143432	0.736919	0.603194	0.323719	0.257448	0.345746	0.31090200000000023
0	uniform	1	0	0.0001	0.48975105164572597	0.980252	0.967685	0.37327	0.594748	0.37293699999999996	0.3310429999999999
0	uniform	1	7	0.0001	0.4873099969699979	0.774406	0.639515	0.310539	0.304803	0.33471199999999995	0.2972720000000001
0	uniform	1	15	0.0001	0.4811490071006119	1.086836	0.918057	0.530421	0.391277	0.52678	0.479027
0	uniform	1	23	0.0001	0.46991498675197363	0.905435	0.771455	0.514463	0.256044	0.5154110000000001	0.4672869999999999
0	uniform	2	0	0.001	0.04106404958292842	34.924768	34.951308	0.135911	34.803325	0.14798299999999642	0.11887200000000002
0	uniform	2	7	0.001	0.04297104896977544	47.852193	47.770388	0.124372	47.591414	0.17897399999999664	0.15205100000000002
0	uniform	2	15	0.001	0.042561034206300974	47.94938	47.785828	0.116225	47.616505	0.16932300000000566	0.14167599999999997
0	uniform	2	23	0.001	0.04186801379546523	49.671566	49.628931	0.124498	49.444183	0.18474799999999902	0.156652
0	uniform	2	0	0.0001	0.07016398012638092	34.99217	35.031945	0.183759	34.802376	0.2295689999999979	0.190008
0	uniform	2	7	0.0001	0.07468799594789743	47.786701	47.853742	0.18378	47.558749	0.29499299999999806	0.256615
0	uniform	2	15	0.0001	0.07342401659116149	48.025689	47.872969	0.174206	47.589883	0.2830859999999973	0.24276699999999993
0	uniform	2	23	0.0001	0.07359898881986737	49.751486	49.596359	0.180223	49.312213	0.2841459999999998	0.24419200000000002
0	uniform	3	0	0.001	0.09937200229614973	0.561129	0.55889	0.122811	0.434156	0.12473400000000001	0.09184200000000002
0	uniform	3	7	0.001	0.10220904368907213	0.63798	0.508653	0.119063	0.349352	0.15930100000000003	0.12895
0	uniform	3	15	0.001	0.10272202780470252	0.671353	0.524674	0.122636	0.368482	0.156192	0.12550000000000003
0	uniform	3	23	0.001	0.10639795800670981	0.570281	0.440099	0.124336	0.281258	0.158841	0.128443
0	uniform	3	0	0.0001	0.1828729873523116	0.596139	0.597263	0.159439	0.436118	0.16114499999999998	0.12039399999999997
