case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations nested_error boundary_backstop
0 0 linear 0.0001 0 23 cartesian 38 55.293765 7.2793534086675269 7.2792531935334868 1.3767227403101309e-05 1 3 155 0.0021030134985533522 1
1 1 uniform 0.001 0 0 cartesian 13 0.656084 41.916544079290311 41.922291611726415 0.00013709967215856848 1 5 2704 0.0058902116084667 0
1 1 uniform 0.001 0 7 cartesian 13 1.241153 43.987607710301795 43.987614774812329 1.6060226429779513e-07 1 5 67 0.016631410494497345 1
1 1 uniform 0.001 0 15 cartesian 13 0.800535 45.916242667702903 45.910506501119002 0.00012494235026052849 1 5 2704 0.003526985210022815 0
1 1 uniform 0.001 0 23 cartesian 13 1.379216 47.308632444160537 47.308639293138114 1.4477223778600616e-07 1 5 67 0.015435572716462787 1
1 1 uniform 0.0001 0 0 cartesian 38 2.4944920000000002 41.923314448822381 41.922291611726415 2.4398406113861303e-05 1 5 23104 0.00099070757940467047 0
1 1 uniform 0.0001 0 7 cartesian 38 2.5823689999999999 43.988423741953689 43.987614774812329 1.8390793533620963e-05 1 5 23104 0.00024803482086355189 0
1 1 uniform 0.0001 0 15 cartesian 38 3.2939579999999999 45.910507046272166 45.910506501119002 1.1874257224477745e-08 1 5 107 0.0013703668670572711 1
1 1 uniform 0.0001 0 23 cartesian 38 3.589242 47.308641469156072 47.308639293138114 4.5996206831041041e-08 1 5 107 0.0019505495334470879 1
1 1 linear 0.001 0 0 cartesian 13 0.710924 43.383112802908165 43.386794945871657 8.4867825984495643e-05 1 5 2704 0.0062478714045468564 0
1 1 linear 0.001 0 7 cartesian 13 0.73891700000000005 45.584458241001755 45.580707217466554 8.2294105646615122e-05 1 5 2704 0.0048646990219509689 0
1 1 linear 0.001 0 15 cartesian 13 0.80079199999999995 47.4834633084646 47.481930950681516 3.2272440324210177e-05 1 5 2704 0.00035639039437285192 0
1 1 linear 0.001 0 23 cartesian 13 0.80862900000000004 48.66165109068907 48.662925139508665 2.6181098155185466e-05 1 5 2704 0.0021691904116210026 0
1 1 linear 0.0001 0 0 cartesian 38 2.9082140000000001 43.387055010241092 43.386794945871657 5.9940903622748024e-06 1 5 23104 0.00084074951296031486 0
1 1 linear 0.0001 0 7 cartesian 38 3.0491329999999999 45.581130734517004 45.580707217466554 9.2915857674051399e-06 1 5 23104 0.0001754109445926133 0
1 1 linear 0.0001 0 15 cartesian 38 3.2522190000000002 47.481084521740605 47.481930950681516 1.7826337808157778e-05 1 5 23104 0.00075124744495980167 0
1 1 linear 0.0001 0 23 cartesian 38 3.2908930000000001 48.663950312307513 48.662925139508665 2.1066814128178766e-05 1 5 23104 0.00060455610705645313 0
2 2 uniform 0.001 0 0 cartesian 13 0.86101300000000003 7.2317900851943904 7.2317914197011035 1.8453335220646527e-07 1 5 105 0.0023898016985031134 1
2 2 uniform 0.001 0 7 cartesian 13 0.79824700000000004 7.2644453038437149 7.2644465975731922 1.7809057578555153e-07 1 5 105 0.0108207753665992 1
2 2 uniform 0.001 0 15 cartesian 13 0.75114800000000004 7.2800304352359388 7.2800314882096355 1.4463861844355594e-07 1 3 113 0.0073743446060472451 1
2 2 uniform 0.001 0 23 cartesian 13 0.203378 7.2734767474962041 7.2716090302734999 0.00025685061104473747 1 3 2704 0.0016365691225397327 0
2 2 uniform 0.0001 0 0 cartesian 38 1.25176 7.2317902015217932 7.2317914197011035 1.6844779386131963e-07 1 5 129 0.0014605795365367769 1
2 2 uniform 0.0001 0 7 cartesian 38 1.1971810000000001 7.2644453364184205 7.2644465975731922 1.7360644817004007e-07 1 5 129 0.00071712821073077748 1
2 2 uniform 0.0001 0 15 cartesian 75 2.0163760000000002 7.2800304353694365 7.2800314882096355 1.4462028093257273e-07 1 3 129 0.00065099551406699874 1
2 2 uniform 0.0001 0 23 cartesian 38 1.194312 7.2716082935705151 7.2716090302734999 1.0131223801652604e-07 1 3 129 0.00027154556718311795 1
