rounds panel cell depth level slot R jac weight grad cold fd fdhalf value coldvalue reliable a b
0 3 7 0 6 54 0.86092299951271478 0.030539657939695049 0.022652294445957719 -52.212303409348195 -52.212303409348308 -52.212303620838235 -52.212303369121344 23.356769072847264 23.356769072847303 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 55 0.86024509798235405 0.030897776030479211 0.021474674918137905 -63.989940156457862 -63.989940156457948 -63.989939554383881 -63.989940072502776 24.535926723968075 24.535926723968117 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 56 0.85962732376356099 0.031220553140633031 0.018298129253395298 -79.297087186695734 -79.297087186695876 -79.297086898581796 -79.297087280138641 25.792522188026627 25.79252218802667 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 57 0.85907329543808364 0.03150721167182622 0.017023388145690078 -99.538108534008813 -99.538108534008998 -99.538109040448845 -99.538108727027748 27.131514264137778 27.131514264137827 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 58 0.85858627850871039 0.031757061038548806 0.013763659943951515 -127.04006966589684 -127.04006966589708 -127.04007027117156 -127.0400693685816 28.556099331203217 28.556099331203267 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 59 0.85816915893772705 0.031969499331792134 0.012411795202613284 -165.98192279364974 -165.98192279365003 -165.98192291154254 -165.98192480148839 30.067365207584913 30.067365207584963 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 60 0.8578244197001843 0.032144014769100393 0.0090939383068833167 -224.7174633043459 -224.7174633043463 -224.71746348819599 -224.71746335115782 31.664030841656277 31.664030841656334 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 61 0.8575541205673064 0.032280186927499351 0.0076810936501366016 -322.74323763945847 -322.74323763945904 -322.74323839229618 -322.74323998867328 33.342288230937662 33.342288230937719 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 62 0.85735988130583574 0.032377687756332145 0.0043430649603904414 -518.56779237485034 -518.56779237485114 -518.56779073680957 -518.56778974640008 35.095754125207158 35.095754125207215 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 63 0.85724286844779785 0.032436282367562082 0.0028398911637121881 -1104.7908707924603 -1104.7908707924623 -1104.7908805100349 -1104.7908572991414 36.915530627891982 36.915530627892039 1 0.85720378575239498 0.88965961535403337
0 4 12 0 4 1 1.4148000941185801 0.00028462226656037918 0.045211840092107561 22.088105752998853 22.088105752998835 22.088105538832174 22.088102728796891 0.00020398479695989626 0.00020398479695989607 1 1.4027942668116613 1.4148028287947072
0 4 12 0 4 2 1.4147599585289483 0.001125037165816239 0.067639194288249882 21.937165776026806 21.937165776026681 21.937166802685894 21.937166041692663 0.0031872399971543657 0.0031872399971543475 1 1.4027942668116613 1.4148028287947072
0 4 12 0 4 3 1.4145936635940097 0.0024677121285769377 0.1167486898367929 21.311807589706188 21.311807589706095 21.311808472905724 21.311807831413393 0.015337584550127795 0.015337584550127728 1 1.4027942668116613 1.4148028287947072
0 4 12 0 4 4 1.4141784972682141 0.0041877365198554296 0.13111333111333112 19.750809488069734 19.750809488069645 19.750809566949112 19.750809546027163 0.044192049860479733 0.044192049860479518 1 1.4027942668116613 1.4148028287947072
