name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
rand027,0.0,0,0,1.0e-03,Converged,2.2454434764191227,0.00088264975,53,29,0,0.822890,0.668919,0.058959,0.003147,0.000668,0.413065,2.2454434763708746,0,9.1697913e-14,1.0949617e-15,9.9717722e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,0,1.0e-04,Converged,2.245443476370554,3.7625572e-09,69,44,0,0.821030,0.657535,0.073047,0.002967,0.000606,0.399448,2.2454434763708746,0,9.1635795e-14,6.4917852e-16,9.9717722e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,0,1.0e-05,Converged,2.245443476370554,3.7625572e-09,69,44,0,0.814368,0.657806,0.069912,0.003192,0.000647,0.400156,2.2454434763708746,0,9.1635795e-14,6.4917852e-16,9.9717722e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,0,1.0e-06,Converged,2.245443476370554,3.7625572e-09,69,44,0,0.809736,0.657482,0.069311,0.002794,0.000595,0.392215,2.2454434763708746,0,9.1635795e-14,6.4917852e-16,9.9717722e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,0,1.0e-08,Converged,2.245443476370554,3.7625572e-09,69,44,0,0.802310,0.653340,0.068650,0.002483,0.000569,0.391056,2.2454434763708746,0,9.1635795e-14,6.4917852e-16,9.9717722e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,1,1.0e-03,Converged,2.2454010038265655,0.00088261351,53,29,0,0.381199,0.238914,0.062782,0.002263,0.000508,0.410765,2.2454010037783303,0,9.2729638e-14,9.0363921e-16,9.9715836e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,1,1.0e-04,Converged,2.2454010037780026,3.7624106e-09,69,44,0,0.401024,0.236041,0.080320,0.002677,0.000642,0.408581,2.2454010037783303,0,9.2366333e-14,5.5086806e-16,9.9715836e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,1,1.0e-05,Converged,2.2454010037780026,3.7624106e-09,69,44,0,0.394965,0.232407,0.080231,0.002686,0.000585,0.415459,2.2454010037783303,0,9.2366333e-14,5.5086806e-16,9.9715836e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,1,1.0e-06,Converged,2.2454010037780026,3.7624106e-09,69,44,0,0.405128,0.234473,0.087715,0.002593,0.000583,0.406920,2.2454010037783303,0,9.2366333e-14,5.5086806e-16,9.9715836e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,0,1,1.0e-08,Converged,2.2454010037780026,3.7624106e-09,69,44,0,0.398277,0.238274,0.079578,0.002398,0.000584,0.414269,2.2454010037783303,0,9.2366333e-14,5.5086806e-16,9.9715836e-16,0,0,0,0,0,0,0,0,0,0
rand027,0.0,1,0,1.0e-03,Converged,2.2454434763708759,3.2858253e-09,77,51,0,0.890107,0.682784,0.093042,0.022058,0.002351,0.553677,2.2454434763708746,0,9.1635795e-14,6.4917295e-16,9.9717722e-16,-0.13239473223938425,3.9281816917798902,0.075309722590453793,0.040893390643580663,0.0025169795403923961,5.4640378e-07,1.5533226e-05,1.5747729e-05,1.5114433e-07,1.2152803e-07
rand027,0.0,1,0,1.0e-04,EventLocationLimited,2.2454434763708759,3.2858253e-09,77,51,0,0.841394,0.650645,0.087497,0.013480,0.001827,0.535512,2.2454434763708746,0,9.1635795e-14,6.4917295e-16,9.9717722e-16,-0.13239473223938425,3.9281816917798902,0.075309722590453793,0.040893390643580663,0.0025169795403923961,5.4640378e-07,1.5533226e-05,1.5747729e-05,1.5114433e-07,1.2152803e-07
rand027,0.0,1,0,1.0e-05,EventLocationLimited,2.2454434763708759,3.2858253e-09,77,51,0,0.832636,0.653701,0.082172,0.011929,0.001694,0.536938,2.2454434763708746,0,9.1635795e-14,6.4917295e-16,9.9717722e-16,-0.13239473223938425,3.9281816917798902,0.075309722590453793,0.040893390643580663,0.0025169795403923961,5.4640378e-07,1.5533226e-05,1.5747729e-05,1.5114433e-07,1.2152803e-07
rand027,0.0,1,0,1.0e-06,EventLocationLimited,2.2454434763708759,3.2858253e-09,77,51,0,0.821935,0.647910,0.080710,0.011257,0.001560,0.536942,2.2454434763708746,0,9.1635795e-14,6.4917295e-16,9.9717722e-16,-0.13239473223938425,3.9281816917798902,0.075309722590453793,0.040893390643580663,0.0025169795403923961,5.4640378e-07,1.5533226e-05,1.5747729e-05,1.5114433e-07,1.2152803e-07
rand027,0.0,1,0,1.0e-08,EventLocationLimited,2.2454434763708759,3.2858253e-09,77,51,0,0.827807,0.649984,0.082290,0.012989,0.001614,0.536213,2.2454434763708746,0,9.1635795e-14,6.4917295e-16,9.9717722e-16,-0.13239473223938425,3.9281816917798902,0.075309722590453793,0.040893390643580663,0.0025169795403923961,5.4640378e-07,1.5533226e-05,1.5747729e-05,1.5114433e-07,1.2152803e-07
rand027,0.0,1,1,1.0e-03,Converged,2.2454010037783245,3.2857407e-09,77,51,0,0.637337,0.257761,0.100164,0.018072,0.002420,0.615012,2.2454010037783303,0,9.2366333e-14,5.5086279e-16,9.9715836e-16,-0.13496677994137121,3.927903745263793,0.075304872858817221,0.041123587407974567,0.0025237850263757728,5.1285165e-07,1.4314606e-05,1.4529138e-05,1.3742681e-07,1.2024711e-07
rand027,0.0,1,1,1.0e-04,EventLocationLimited,2.2454010037783245,3.2857407e-09,77,51,0,0.425906,0.235316,0.092210,0.011582,0.001757,0.556714,2.2454010037783303,0,9.2366333e-14,5.5086279e-16,9.9715836e-16,-0.13496677994137121,3.927903745263793,0.075304872858817221,0.041123587407974567,0.0025237850263757728,5.1285165e-07,1.4314606e-05,1.4529138e-05,1.3742681e-07,1.2024711e-07
rand027,0.0,1,1,1.0e-05,EventLocationLimited,2.2454010037783245,3.2857407e-09,77,51,0,0.425262,0.233747,0.091463,0.013391,0.001611,0.550174,2.2454010037783303,0,9.2366333e-14,5.5086279e-16,9.9715836e-16,-0.13496677994137121,3.927903745263793,0.075304872858817221,0.041123587407974567,0.0025237850263757728,5.1285165e-07,1.4314606e-05,1.4529138e-05,1.3742681e-07,1.2024711e-07
