sample	stage	finite	max_scaled_root_error	nearest_assignment_duplicates	positive_real_candidate_count_delta
172	4	True	0.002897459876308339	5	-4
173	0	True	0.009350342774679804	6	-4
173	2	True	0.0035238071444123457	6	-4
173	4	True	0.0028974504261266294	5	-4
174	0	True	0.009350241704069945	6	-4
174	2	True	0.0035236596794083713	6	-4
174	4	True	0.0028974306298310505	5	-4
175	0	True	0.009350140641737215	6	-4
175	2	True	0.0035235053047188232	6	-4
175	4	True	0.002897401246366195	5	-4
176	0	True	0.009998306636048162	7	-4
176	2	True	0.00383909754171373	7	-4
176	4	True	0.0031084670436610827	7	-4
177	0	True	0.009998211827933152	7	-4
177	2	True	0.0038392189590584725	7	-4
177	4	True	0.0031088103453520044	7	-4
178	0	True	0.009998103484136657	7	-4
178	2	True	0.0038393491259143733	7	-4
178	4	True	0.003109191389461954	7	-4
179	0	True	0.009997995149229668	7	-4
179	2	True	0.003839470150823308	7	-4
179	4	True	0.00310956040811472	7	-4
180	0	True	0.0001731084829194383	0	0
180	2	True	7.157551382031847e-08	0	0
180	4	True	3.755012135969312e-72	0	0
181	0	True	0.00016821126064461487	0	0
181	2	True	3.7006224140041856e-08	0	0
181	4	True	6.1312857340419955e-74	0	0
182	0	True	0.00016185689516204742	0	0
182	2	True	1.8503697961391862e-08	0	0
182	4	True	9.761047630466209e-75	0	0
183	0	True	0.00015442513444683385	0	0
183	2	True	9.614056267526078e-09	0	0
183	4	True	8.670116245923914e-75	0	0
184	0	True	0.23800399831592822	5	-6
184	2	True	0.20835693910603406	5	-6
184	4	True	0.23758262748008604	5	-6
185	0	True	0.2412982017887699	5	-6
185	2	True	0.21052831283905585	5	-6
185	4	True	0.2400105856451848	5	-6
186	0	True	0.24517858957851157	5	-6
186	2	True	0.21309383271864335	5	-6
186	4	True	0.24272165427189238	5	-6
187	0	True	0.24918824570602702	6	-6
187	2	True	0.2157573264408064	5	-6
187	4	True	0.24536469063997002	5	-6
188	0	True	0.00020286265457968356	3	-2
188	2	True	0.0019843218694260757	2	-2
188	4	True	0.0014677921835806547	4	-2
189	0	True	0.00020286068145653618	3	-2
189	2	True	0.0029479532219553535	2	-2
189	4	True	0.0022310486522829427	4	-2
190	0	True	0.00020285842663475328	3	-2
190	2	True	0.007031892243216545	2	-2
190	4	True	0.005497547360208322	2	-2
191	0	True	0.00020285617200066302	3	-2
191	2	True	0.017743491021221594	3	-3
191	4	True	0.01464389069357382	3	-3
192	0	True	0.009350431218254117	6	-4
192	2	True	0.0035239305036308625	6	-4
192	4	True	0.002897459876308339	5	-4
193	0	True	0.009350342774679804	6	-4
193	2	True	0.0035238071444123457	6	-4
193	4	True	0.0028974504261266294	5	-4
194	0	True	0.009350241704069945	6	-4
194	2	True	0.0035236596794083713	6	-4
194	4	True	0.0028974306298310505	5	-4
195	0	True	0.009350140641737215	6	-4
195	2	True	0.0035235053047188232	6	-4
195	4	True	0.002897401246366195	5	-4
196	0	True	0.009998306636048162	7	-4
196	2	True	0.00383909754171373	7	-4
196	4	True	0.0031084670436610827	7	-4
197	0	True	0.009998211827933152	7	-4
197	2	True	0.0038392189590584725	7	-4
197	4	True	0.0031088103453520044	7	-4
198	0	True	0.009998103484136657	7	-4
198	2	True	0.0038393491259143733	7	-4
198	4	True	0.003109191389461954	7	-4
199	0	True	0.009997995149229668	7	-4
199	2	True	0.003839470150823308	7	-4
199	4	True	0.00310956040811472	7	-4
200	0	True	0.0812917696119915	1	2
200	2	True	0.2972158260854478	2	2
